url,suggested_target_url,score,coverage,sequence_ratio,reason,live_status_code,live_location,title_token_coverage
https://bitcoininfonews.com/bitcoin-bottom-analyst-warns-slide-40000/,https://bitcoininfonews.com/bitcoin-bottom-not-in-analyst-warns-40000-zone/,0.762,0.833,0.791,"Likely match, but keep manual review because similarity is not strong enough.",404,,0.833
https://bitcoininfonews.com/bitcoin-breaks-71000-btc-posts-162-daily-gain/,https://bitcoininfonews.com/bitcoin-breaks-71000-btc-daily-gain/,0.775,0.750,0.875,"Likely match, but keep manual review because similarity is not strong enough.",404,,0.750
https://bitcoininfonews.com/bitcoin-falls-below-69000-down-on-the-day/,https://bitcoininfonews.com/bitcoin-falls-below-69000-down-1-27-percent/,0.740,0.833,0.786,"Likely match, but keep manual review because similarity is not strong enough.",404,,0.833
https://bitcoininfonews.com/crypto-market-drops-for-second-day-btc-falls-below-71000-layer-2-tokens-plunge-6/,https://bitcoininfonews.com/crypto-market-drops-second-day-btc-below-71000-layer-2-decline/,0.721,0.714,0.817,"Likely match, but keep manual review because similarity is not strong enough.",404,,0.929
https://bitcoininfonews.com/gate-integrates-polymarket-1000-gt-incentive-program/,https://bitcoininfonews.com/gate-polymarket-integration-1000-gt-incentive-program/,0.810,0.857,0.781,"Likely match, but keep manual review because similarity is not strong enough.",404,,0.857
https://bitcoininfonews.com/sp500-perpetual-contract-launches-on-hyperliquid-in-first-official-license/,https://bitcoininfonews.com/sp500-perpetual-contract-hyperliquid-official-license/,0.767,0.750,0.835,"Likely match, but keep manual review because similarity is not strong enough.",404,,0.875
https://bitcoininfonews.com/the-wash-trading-bust-why-feds-are-calling-out-cryptos-fake-liquidity/,https://bitcoininfonews.com/wash-trading-bust-feds-calling-out-crypto-fake-liquidity/,0.720,0.700,0.896,"Likely match, but keep manual review because similarity is not strong enough.",404,,0.889
https://bitcoininfonews.com/traders-280-btc-long-40x-leverage-partially-liquidated/,https://bitcoininfonews.com/trader-280-btc-40x-leverage-partially-liquidated/,0.763,0.750,0.941,"Likely match, but keep manual review because similarity is not strong enough.",404,,0.875
https://bitcoininfonews.com/xrp-derivatives-market-shrinks-78-percent/,https://bitcoininfonews.com/xrp-derivatives-market-shrinks-by-78-from-octobers-peak/,0.754,0.833,0.750,"Likely match, but keep manual review because similarity is not strong enough.",404,,0.833
https://bitcoininfonews.com/xrp-etf-sec-review-8-billion-inflows/,https://bitcoininfonews.com/xrp-etf-decision-sec-8-billion-inflows/,0.810,0.857,0.784,"Likely match, but keep manual review because similarity is not strong enough.",404,,0.714
